putative Compound	hum_101_2 _cor	hum_102_2 _cor	hum_103_2 _cor	hum_104_2 _cor	hum_105_2 _cor	hum_106_2 _cor	hum_120_2 _cor	hum_121_2 _cor	hum_141_2 _cor	hum_153_2 _cor	hum_98_2 _cor	Wt_132_2 _cor	Wt_133_2 _cor	Wt_134_2 _cor	Wt_135_2 _cor	Wt_142_2 _cor	Wt_147_2 _cor	Wt_148_2 _cor	Wt_152_2 _cor	Wt_91_2 _cor	Wt_wt2_2 _cor
"Butyro-1,4-lactam_(1TMS)_241244.02_PRED"	3114	5160	6162	10253	2461	7562	3544	703	6318	13487	8871	4738	5788	4026	9120	8341	11138	7977	12873	4277	9855
Caffeine_754467.62_TRUE	1142	1490	1418	1872	1664	1787	1927	2692	1743	1831	1686	2152	1882	2613	1938	1453	1749	2006	2027	1729	1902
Calystegine_B1_(1MEOX)_(TMS)_623873.94_PRED	610	759	621	661	767	915	1082	1169	917	699	796	937	877	960	908	661	614	744	851	687	894
Calystegine_B2_(1MEOX)_(3TMS)_BP_620736.44_PRED	651	730	651	677	748	962	1187	1166	949	806	919	982	968	1085	940	716	681	789	906	769	928
Calystegine_B4_(1MEOX)_(3TMS)_598843.25_PRED	1709	1941	1744	2020	2796	2058	2257	2412	2113	2046	2008	2164	2168	2307	2052	2055	1869	1852	2292	1840	2065
"Cholesterol, D6-"	5503	3338	3284	4883	5828	NaN	4044	12804	4390	17579	7165	14166	NaN	5470	3823	3589	5595	3933	6214	3896	5665
Cholesterol_(1TMS)_1079629_TRUE	12405	7088	6179	9572	12503	7317	4244	27051	9174	40487	16098	32421	13650	NaN	8861	8089	12385	7606	14086	13092	11980
"CinNaNmic_acid,_2-methoxy-,_cis-_(1TMS)_527345_PRED"	450	431	455	561	539	540	560	773	585	502	449	639	540	550	570	521	440	440	550	397	571
"CinNaNmic_acid,_3-hydroxy-,_cis-_(2TMS)_599148.38_TRUE"	13039	12894	11967	13137	11499	12771	13285	12857	13221	12552	12118	12312	12454	12253	11608	10909	11991	11820	12665	12714	12413
"CinNaNmic_acid,_3-hydroxy-,_trans-_(2TMS)_653564.75_TRUE"	36915	42041	31729	31490	38520	61619	59084	54863	53830	48418	42984	60599	59034	59177	56351	43875	45496	36605	48198	40796	61475
"CinNaNmic_acid,_3-methoxy-,_cis-_(1TMS)_587950.5_TRUE"	1011	863	1259	1661	1462	1462	1743	2311	1151	1481	1435	1116	1144	1636	1117	954	1115	1705	1489	1115	1607
"CinNaNmic_acid,_3-methoxy-,_trans-_(1TMS)_649428.75_TRUE"	221778	251384	193210	199255	234604	370630	351773	340917	322709	293004	258167	346963	339710	350793	330382	255546	268443	222648	293126	249439	359631
Citrate (4TMS) [MP-1.1]	5258	7244	4592	6618	6803	7590	9857	10988	6969	8539	6518	8226	7793	9204	5379	5719	6414	7011	8824	6369	6165
"Cysteine,_S-methyl-,_DL-_(1TMS)_354018_PRED"	1602	1799	1711	1763	2131	2484	2916	3336	2546	2422	2232	2841	2355	2553	2411	2128	2005	2135	2634	1747	2636
Cysteine_(3TMS)_479326.28_TRUE	731	1640	1349	1492	1881	2361	2019	1860	1742	2263	1414	1347	1669	1692	1144	1057	1517	2101	1132	1419	2122
Cytosine_(2TMS)_515287.31_TRUE	536	529	157	293	252	897	1690	NaN	455	532	428	481	146	435	1744	173	651	127	1051	1390	NaN
Dehydroascorbic_acid_(2MEOX)_BP_639171.94_PRED	6496	7324	5990	6086	7382	8818	11171	10434	9036	6657	7739	9781	9157	9935	8224	7385	6586	6219	7730	6957	8279
"Docosahexaenoic_acid,_4,7,10,13,16,19-(Z,Z,Z,Z,Z,Z)-_(1TMS)_907201.25_TRUE"	1370	2594	1837	2017	2829	2765	2493	2851	2398	3328	2651	2887	2961	2757	2185	2503	2641	2630	2902	2462	2582
Dodecane_260776.19_PRED	6459	9745	7341	14761	12747	11940	23910	50831	5295	24338	14613	21862	18456	25803	6987	20827	7875	10373	39032	18899	14271
Dodecanoate (1TMS) [MP-1.1]	904	942	1040	549	497	1217	1724	2116	1090	680	739	1125	1014	1801	430	1178	1295	1180	1486	1005	557
"Eicosapentaenoic_acid,_5,8,11,14,17-(Z,Z,Z,Z,Z)-,_n-_(1TMS)_838800.94_PRED"	1283	1039	628	1477	917	1003	714	1441	771	2909	1460	1033	1064	1149	1083	558	1162	862	1210	1108	897
"Erythronic_acid-1,4-lactone_(2TMS)_462181.38_TRUE"	14178	18738	13642	20791	20501	20805	23802	32147	25601	25955	24535	30618	26616	26509	27697	22607	24956	21915	33956	18338	23496
Ethanolamine [MP-1.1]	27857	37625	33916	5557	90723	55881	49343	148544	27875	4814	5089	46146	57820	83733	1590	26578	3599	49285	4717	36326	6623
Ethanolamine_(3TMS)_321815.91_PRED	10681	16645	24003	21328	37260	24187	16817	52305	25401	18048	22387	23876	32547	30379	7962	22713	14469	31615	12737	11549	31146
FAME C10:0	66002	69403	90951	138645	109658	102771	132111	180368	81716	125039	122598	81194	75191	128609	73515	67971	73055	121751	119149	96327	113570
FAME C12:0	79645	83739	116284	168060	125215	123665	152362	204608	101139	146378	152125	98515	96169	154384	92448	80100	94073	146748	144768	114623	140775
FAME C14:0	95427	106668	134007	199091	146678	152443	184962	240823	120785	172478	178168	122467	116932	186931	117390	100505	115129	173425	166788	135163	169465
FAME C16:0	73295	79341	107557	155623	115790	119062	137737	181818	98732	135532	134696	91429	93689	145767	89163	83658	85582	133357	131788	106186	131752
FAME C18:0	25561	27457	37828	56142	40497	42153	47790	66227	31172	48866	48399	30182	30651	50147	30810	27050	29259	48443	45055	37769	46086
FAME C20:0	24234	26945	35825	49074	39310	40280	44577	61993	31648	45914	44292	29720	30695	48755	29426	25228	26768	45701	44093	35461	43548
FAME C22:0	20678	22147	29402	43758	33959	31928	37421	53909	26473	39865	37662	25682	25283	40100	24429	21855	23254	38070	37112	29274	36349
FAME C24:0	15631	17500	23405	33809	27178	25063	28467	39223	19102	30313	28144	20026	19018	31712	19041	15522	17514	30048	28952	21263	29025
FAME C26:0	11989	12371	17471	26711	20269	20053	21832	33863	15585	22920	23605	15304	15920	27512	14531	12906	14350	22488	20943	17622	21561
FAME C28:0	8927	9333	12345	18675	15577	14825	17738	23681	11275	16012	17069	11732	12758	25843	11468	8910	9927	15940	16588	16051	15913
FAME C30:0	4051	4161	5876	7946	7305	7168	8318	11820	5250	6722	7723	5905	5788	15736	4998	4266	NaN	7366	7396	11957	6843
FAME C8:0	47816	49721	60109	99872	77695	72109	100273	139804	53432	93341	84468	64799	58946	96269	50352	51954	52299	84464	109878	72807	81729
FAME C9:0	48952	52628	67473	105851	84786	79784	101323	147708	60115	93730	89625	61706	57839	97630	53541	48857	55339	91182	91124	74046	85573
Fructose (|Psicose) (1MEOX;5TMS) [MP-1.1]	961	870	866	1106	1220	1270	1922	1822	1293	1107	1420	1754	1453	1465	2000	1305	1008	572	1683	1295	2256
Fructose (|Sorbose) (1MEOX;5TMS) [MP-1.2]	545	499	532	667	613	845	1168	1130	815	599	764	1096	760	856	1209	704	560	354	936	817	1324
"Fructose,_D-_(5TMS)_622992.38_PRED"	7721	8887	7557	7384	9253	10684	14223	13698	10436	8815	10162	11625	11772	11243	10652	9192	8061	8349	10233	8848	10310
Fucose_(1MEOX)_(4TMS)_MP_522432.03_TRUE	1031	1464	1019	516	872	1511	2007	1671	1653	871	945	1562	1269	1798	1030	1442	1458	1284	1903	1359	740
Fumarate (2TMS) [MP-1.1]	1322	3153	1461	2042	2740	3039	2989	5493	2524	3358	2290	2892	2340	3987	2656	1486	3232	4206	4878	2310	1899
Galactaric_acid_(6TMS)_658294.38_TRUE	197753	222402	176885	186492	215716	329742	331702	318012	286465	261602	237604	323373	317246	319706	291322	218554	238053	205086	262189	233096	315658
Galactitol_(6TMS)_590143.5_TRUE	604	630	572	593	776	767	943	1171	823	653	700	952	815	1013	974	743	672	658	856	741	1082
"Galactonic_acid-1,4-lactone_(4TMS)_619566.38_PRED"	1387	434	126	187	89	761	10413	518	121	383	213	327	183	142	14552	116	628	124	2961	4313	147
"Galactono-1,4-lactone [MP-1.1]"	450	441	331	545	578	534	468	898	501	524	629	777	736	692	545	563	464	417	571	367	546
"Galactopyranoside,_1-O-methyl-,_alpha-_(4TMS)_585464.62_TRUE"	9724	10293	14830	16632	18821	14837	15478	28098	13731	14902	14749	14641	19604	20331	10458	14870	11022	22051	13971	10145	18881
"Galactopyranoside,_1-O-methyl-,_beta-_(4TMS)_598177.19_TRUE"	22518	22505	20486	22396	21119	22718	21533	21173	22318	22639	20653	21963	21863	20809	20627	20780	20912	19881	21615	20265	21398
GlucoNaNte|GalactoNaNte [MP-1.1]	21093	23618	20551	20357	24024	28465	37230	33417	27945	23178	26843	30184	30995	30662	27832	24401	21188	21268	27607	22670	27729
"Glucopyranose,_D-_(5TMS)_644536.81_PRED"	1769	778	241	316	206	1023	2808	481	385	1184	364	779	294	360	5775	190	1151	232	2486	2460	296
Glucopyranose_[-H20]_(4TMS)_561007.94_TRUE	875	994	827	1284	1273	1334	1915	1691	1430	1500	1231	1655	1144	1754	1950	1098	1112	1166	1497	1229	1510
"Glucopyranoside,_1-O-methyl-,_alpha-_(4TMS)_613929.06_TRUE"	612	675	1114	1813	1255	1114	1256	1755	1421	1404	1332	1296	1391	1593	830	1217	934	1592	1323	825	2096
Glucose (1MEOX;5TMS) [MP-1.1]	697	843	980	1310	15661	1414	1753	2329	1902	939	721	1986	1195	3339	2392	3293	952	1549	963	626	2122
"Glucose,_3-deoxy-,_D-_(1MEOX)_(4TMS)_589111.5_PRED"	517	542	746	994	849	908	1101	1557	716	903	841	772	756	1043	723	670	648	1056	951	693	1004
Glucose_(1MEOX)_(5TMS)_BP_599322.19_TRUE	1326	1286	1209	1327	3320	1405	1416	1549	1513	1237	1274	1438	1372	1560	1363	1582	1197	1330	1186	1227	1363
"Glucuronic_acid-3,6-lactone_(1MEOX)_(3TMS)_MP_657311_TRUE"	408978	461527	354107	360141	431747	685985	652821	618869	595907	538338	477861	664554	654342	652777	614449	472437	500752	406578	537158	461395	670209
Glutamate (3TMS) [MP-1.1]	450098	506084	369047	449079	476029	590542	806946	722101	641441	651669	496233	714185	625341	654227	700646	533218	622160	518498	804665	452868	579656
Glutamine ([-H2O]2TMS) [NN-3.1]	760	910	1393	3292	1029	965	1437	1409	1016	3306	3824	614	759	732	1976	997	3088	1381	2396	847	3294
Glutamine (4TMS) [MP-2.1]	500	372	1814	1940	285	547	425	266	736	1605	1070	438	469	457	1033	787	1081	1571	1061	526	903
Glutamine [MP-1.1]	278782	278137	241975	252686	230231	265044	266516	254719	273239	255603	238464	262735	259693	239875	242091	235472	252122	228690	251407	252895	242848
"Glutamine,_N-acetyl-,_DL-_(3TMS)_655207.31_PRED"	9965	11016	8808	9227	10705	16016	15662	15283	14073	13318	11706	15076	14288	15216	13988	11230	12065	10429	13290	11027	16325
"Glutaric_acid,_2-hydroxy-_(3TMS)_488906.25_TRUE"	7989	8637	9459	15023	11099	11870	15432	19283	11297	15056	13198	11733	10806	16021	10767	8683	10292	13188	15140	11346	13953
Glyceraldehyde-3-phosphate_(1MEOX)_(3TMS)_BP_571519.81_TRUE	14782	9268	11134	17320	10383	15051	22574	22909	23575	20903	18018	19956	24367	18817	23635	19485	22771	11319	17916	12914	25682
Glycerol ((3TMS)) [MP-1.1]	9182	12983	9302	11073	14932	13494	15917	19068	11732	17995	11764	14641	14341	15684	11660	12708	13743	16744	19963	12867	16121
Glycerol 3-P (|Glycerol 1-P) [MP-1.1]	26151	23828	15268	21177	24214	29021	37174	48225	36204	28864	27236	44591	41463	39680	33672	30942	29533	17932	29871	21501	32959
Glycine (2TMS) [MP-2.1]	18548	17047	3703	11850	3887	24124	37404	8815	14422	24523	12906	21777	9054	14182	30032	5304	20245	4310	25389	24210	10070
"Glycine,_N-acetyl-_(1TMS)_334790.31_PRED"	8716	11608	9480	11026	12465	12959	14850	18059	12857	15933	13936	14966	13581	15399	13288	11561	12330	12790	16216	11023	13376
"Glycine,_N-cinNaNmoyl-,_trans-_(1TMS)_772530.69_PRED"	1810	2038	2617	3973	2603	2787	2443	5179	2102	3880	4018	2044	2049	3786	2693	1523	2837	2874	3900	3102	2966
Glycylglycine_(3TMS)_628479.25_TRUE	6193	6806	5901	5832	6746	8263	10750	10032	8066	6659	7529	9080	8955	9121	8296	7015	6242	6459	7657	6511	7875
Guanosine-5-monophosphate_(6TMS)_1065235.12_TRUE	2297	2199	2055	2292	2841	3170	3709	5351	3116	2833	2694	4261	4263	6206	3047	2278	2210	2401	3225	3439	2593
"Heptacosanoic_acid,_n-_(1TMS)_1053682.38_PRED"	2883	3056	2443	2631	3902	4348	4637	5880	3605	3156	2665	4675	4830	6949	3809	2533	2267	2644	3531	3073	2800
"Heptanoic_acid,_n-_(1TMS)_255612.95_PRED"	12633	19599	15130	29530	26720	24150	44783	121864	10509	50424	30241	49732	40853	54734	13938	51749	15905	21127	119794	39526	28156
"Hexacosane,_n-_908082.69_PRED"	454	900	602	645	857	864	766	902	748	952	897	886	899	898	749	791	864	901	900	850	895
"Hexadecane,_n-_486353.06_PRED"	8905	11438	12218	14794	11950	13461	12006	12447	13461	18392	15916	15339	14103	16051	12988	10700	13673	13648	12918	9670	18744
Hexadecanoate (1TMS) [MP-1.1]	14348	12883	16497	20804	17550	19046	17406	33161	16526	26157	23077	13582	13963	30109	15419	12251	15318	18299	20516	16864	17455
"Hexadecenoic_acid_methyl_ester,_9-(Z)-,_n-_652277.12_PRED"	9843	10607	9436	9771	11178	15511	15261	15554	13016	13674	12528	11265	11195	15838	11151	9793	11713	11342	13095	11269	15676
"Hexanedioic_acid,_hydroxy-_(3TMS)_535302_TRUE"	8495	6848	12751	17154	6157	11542	9476	5164	11904	22672	18980	6727	7828	8098	18858	13192	16287	17162	21120	10240	15481
"Hexanoic_acid,_2-ethyl-_(1TMS)_254181.88_PRED"	24724	40278	29273	58196	53774	48509	89300	272831	20709	104110	60532	107199	83942	111234	28027	118072	32323	41668	353674	78984	58721
Hippuric_acid_(1TMS)_692751.69_TRUE	450	378	526	696	591	175	NaN	1055	510	832	700	415	466	830	493	383	468	465	633	503	87
Histamine_(3TMS)_653726.19_TRUE	1924	2321	1928	1992	2371	3218	3095	3527	2698	3010	2749	2305	2655	3133	2407	2190	2462	2487	2888	2310	3410
Histidine (3TMS) [MP-1.1]	1829	1518	2317	2617	1311	1790	1753	1579	2466	2328	2136	1718	1957	1567	3505	2305	2203	2608	2504	1722	2809
Homocysteine_(2TMS)_506276.72_PRED	9264	11115	8774	10384	10840	13008	15143	14567	13931	15072	11708	13412	13277	14144	13883	11880	13032	12214	17311	9057	13277
Homoserine_(2TMS)_380616.94_PRED	1615	4465	7067	10687	7948	10993	8484	8655	19956	25479	839	12857	10016	14177	14816	13593	26366	29643	23274	816	22272
Homoserine_(4TMS)_510930.09_TRUE	49806	58236	43312	51737	53772	67182	84075	78780	74211	75848	59906	78187	70937	72940	78260	64098	70348	60737	92015	48850	68285
Homoserine_lactone_(2TMS)_458933.88_PRED	9593	12146	8755	13792	13444	14128	16066	20838	16627	17091	15858	19181	16841	17907	17728	14416	16249	14449	22223	11862	15506
Hypotaurine_(3TMS)_509415.53_TRUE	120418	138461	111341	130612	137137	166650	207535	192932	169980	190463	149113	172529	168192	187529	172817	147873	166941	152952	215666	125820	169086
Hypoxanthine_(2TMS)_659841.12_TRUE	825	1788	1195	1335	1548	1387	1170	1702	1067	2110	1495	1395	1423	1728	1130	1240	1955	2111	1985	1883	1463
Indole-3-acetaldehyde_(1MEOX)_(1TMS)_BP_657093_PRED	1123	1253	1042	1153	1167	1879	1721	1841	1652	1557	1507	1788	2016	1845	1666	1386	1401	1325	1482	1190	1867
"Indole-3-acetic_acid,_1H-_(1TMS)_668169.31_PRED"	813	847	1271	1904	1430	1396	1528	2284	1163	1563	1618	1176	1102	1783	1012	981	1044	1430	1520	1264	1431
"Indole-3-butanoic_acid,_1H-_(1TMS)_755498.5_PRED"	940	1252	1085	1336	1316	1532	1631	2176	1397	1577	1321	1882	1498	2058	1534	1257	1370	1481	1801	1353	1486
Inosine_(4TMS)_904803.88_TRUE	4251	8458	5231	5454	7840	7666	7207	8973	7440	9183	8015	8582	8879	8857	6773	7431	7758	8125	8471	7913	7735
"Inositol-2-phosphate,_myo-_(7TMS)_863697.56_PRED"	977	1058	851	1271	954	1519	1342	1828	1037	1250	1393	1274	1391	1600	997	766	787	1109	1125	1162	1112
Isocitric_acid_(4TMS)_597989.19_TRUE	18074	18064	16451	18601	15511	18166	18812	18016	18310	17779	16517	17182	17393	16427	15871	15426	16886	15851	17260	17350	17055
Isoleucine (2TMS) [MP-1.1]	1063	1100	955	1290	1313	1496	1819	2022	1186	1528	1092	1426	1181	1809	1265	1100	1423	1286	1556	1071	1443
"Isovaleric_acid,_2-oxo-_(1MEOX)_(1TMS)_BP_269296.62_PRED"	4350	5013	4766	6344	5933	6441	7241	15017	4775	8710	6702	8314	7156	8672	5354	6457	5124	5897	16446	6839	6861
Leucine (2TMS) [MP-1.1]	2131	2451	2285	2460	2947	3465	3735	4471	2580	3337	2362	3179	2661	3383	2457	2327	2933	2949	3502	2384	3469
"Levulinic_acid,_5-amino-_(1MEOX)_(3TMS)_BP_591715.44_TRUE"	4033	5783	9402	7673	15134	7384	4672	16716	7850	6203	7242	9268	15035	12733	2783	10710	4841	14183	4990	3280	10104
"Levulinic_acid,_5-amino-_(1MEOX)_(3TMS)_MP_574704.06_TRUE"	5858	6802	3044	4208	6735	7351	8759	12243	8005	5056	6023	11808	8984	10334	6391	6528	5482	4137	6961	4965	5950
Lysine (3TMS) [MP-1.1]	3467	4114	5666	5069	6591	5363	4440	9248	7589	5412	5669	6535	7180	8174	3426	6325	3529	5927	4155	3450	10964
Lysine_(3TMS)_631402.94_PRED	863	1165	869	939	1096	1239	1571	1598	1289	954	1077	1512	1278	1484	1174	1122	1050	990	1196	994	1217
Lyxonic_acid_(5TMS)_539863.25_TRUE	1798	1550	2927	3756	1446	2460	2192	1310	2612	4950	4404	1539	1699	2116	4064	2787	3353	3946	4476	2178	3563
Lyxose_(1MEOX)_(4TMS)_BP_488187.75_TRUE	1127	1437	1473	1863	1487	1714	1414	1557	1668	2180	1957	1738	1745	1844	1662	1389	1654	1831	1542	1207	2244
Malate (3TMS) [MP-1.1]	7225	8900	5074	8674	7957	8479	11487	12720	10253	13370	6920	9514	9422	11661	8386	7186	9319	9995	12532	6600	9941
"Maleamic_acid,_N-ethyl-_(2TMS)_459686.66_TRUE"	771	955	665	1145	1132	1128	1205	1732	1384	1481	1377	1590	1380	1335	1440	1195	1296	1298	1641	938	NaN
Malic_acid_(3TMS)_442513.44_TRUE	2677	3348	1924	3375	2825	3185	4451	5119	3696	5113	2398	3595	3607	4558	2955	2666	3466	3546	4628	2565	3922
Mannitol|Sorbitol (6TMS) [MP-1.1]	4285	4266	5442	6496	6655	5803	6780	9994	5741	5971	5928	6025	6523	7945	5226	5594	4787	7633	6260	4755	7508
"Mannopyranoside,_1-O-methyl-,_alpha-_(4TMS)_559825.75_TRUE"	1114	1758	1317	1669	1892	NaN	1884	3607	2121	2054	1807	2403	2532	2921	1958	1648	1566	1846	1992	1357	2125
Methionine (2TMS) [MP-1.1]	1266	1450	1371	1464	1503	2074	2325	2952	2517	1856	1645	2344	1950	2032	1783	1903	1322	1848	2250	1559	2118
