putative Compound	hum_101_5 _liv	hum_102_5 _liv	hum_103_5 _liv	hum_104_5 _liv	hum_106_5 _liv	hum_121_5 _liv	hum_141_5 _liv	hum_153_5 _liv	hum_98_5 _liv	Wt_132_5 _liv	Wt_133_5 _liv	Wt_134_5 _liv	Wt_135_5 _liv	Wt_142_5 _liv	Wt_147_5 _liv	Wt_148_5 _liv	Wt_152_5 _liv	Wt_91_5 _liv	Wt_wt5_5 _liv
Asparagine_[+CO2]_(4TMS)_671069.25_TRUE	3661	3721	4386	3866	7534	3984	5457	4038	4384	4323	5372	4577	3192	4714	4401	3347	5002	 NA	4484
"Aspartic_acid,_N-(3-indolylacetyl)-_(3TMS)_1019937.94_TRUE"	1755	531	697	1349	1036	719	473	723	1239	639	703	500	929	573	538	846	396	515	1209
"Aspartic_acid,_N-(3-indolylacetyl)-_[-H2O]_(3TMS)_986080.81_TRUE"	448	375	308	424	805	282	310	1929	558	324	181	283	310	734	655	976	1602	654	1641
Aspartic_acid_(3TMS)_458039.69_TRUE	2147	1809	1871	2047	2342	2067	2122	1047	2305	3723	1717	1926	2290	1569	1341	1443	1346	4918	1844
"Benzene-1,2,3-triol_(3TMS)_481852.34_PRED"	18490	5742	2946	2609	4589	1838	2247	13581	4577	2163	2759	1525	9204	5890	7254	5428	13832	25306	30397
Benzoate (1TMS) [MP-1.1]	141857	68496	71506	69220	84104	67550	70097	69780	126107	67661	41542	52678	54008	76888	55874	64127	60350	186	66969
"Benzoic_acid,_(1TMS)_349981.84_PRED"	66362	31372	34899	32126	40289	32532	34076	32532	63995	31015	20190	24128	25216	35557	26623	31127	27008	 NA	31170
"Benzoic_acid,_4-hydroxy-_(2TMS)_536499.81_TRUE"	841	1213	996	1334	1808	1422	1207	1464	1254	1193	1476	1824	1486	1071	1387	1285	1303	100	1260
"beta-Galactopyranosyl-1,3-arabinose,_D-_(1MEOX)_(7TMS)_879025.31_PRED"	 NA	139884	187775	155263	191403	158900	87931	117673	34245	97789	99616	104600	420951	108869	116144	317490	65755	58	148442
"But-3-enoic_acid,_2-amino-4-(2-aminoethoxy)-,_(S)-trans-_(4TMS)_702005_PRED"	1279	2532	2136	3305	2390	2765	1811	3590	2187	3108	2125	2461	5559	1489	5990	4081	3474	540	1658
"Butane,_1,2,4-trihydroxy-_(3TMS)_345095_TRUE"	13039	6812	7673	7175	8541	6721	7187	7003	12855	6710	4408	5406	5682	7807	6141	6149	5856	699	7030
"Butanoate, 2-Oxo- (1MEOX 1TMS) [MP-1.1]"	17223	14013	11639	11823	15935	15174	15735	9411	18147	18049	16018	14811	14715	13600	9611	11285	9843	31	18778
"Butanoic_acid,_2,4-diamino-_(4TMS)_519172.62_TRUE"	904	1053	935	1176	1198	1038	731	1171	1419	979	1036	1284	866	887	1254	1133	1201	190	1032
"Butanoic_acid,_2-amino-_(2TMS)_249223.84_TRUE"	 NA	751	614	1117	1342	1011	856	846	800	928	1157	1640	920	715	1206	901	996	54	448
"Butanoic_acid,_2-oxo-_(1MEOX)_(1TMS)_BP_230578.09_PRED"	1584	1371	1095	814	972	1110	750	457	1227	1204	920	855	916	1293	769	859	476	56	805
"Butanoic_acid,_4-amino-3-hydroxy-_(3TMS)_424669.34_TRUE"	350	7550	9017	12999	16079	5090	10191	5866	1502	4265	7208	8269	4993	6257	7096	7701	2862	65	7781
"Butyrate, 3-Hydroxy- [MP-1.1]"	679	3087	3041	2784	3263	3018	2314	2532	1970	2602	2278	2363	1828	3007	2896	2835	2163	55	2354
"Butyric_acid,_2,4-diamino-,_DL-_(3TMS)_438050.91_PRED"	53842	54820	60356	58013	56949	58322	57101	56573	55648	59864	58609	60255	57932	56331	59554	59876	54805	57088	51750
Caffeate	11167	10399	9644	10145	21629	8089	8475	64645	19220	11735	5035	9121	9527	21081	18770	28127	55464	19614	52006
Calystegine_B1_(1MEOX)_(TMS)_623873.94_PRED	83460	137674	105389	137381	94757	149423	154144	150201	79444	146925	159941	172024	97272	157228	155717	98582	165736	218801	134945
Calystegine_B2_(1MEOX)_(4TMS)_BP_612263_PRED	1347	562	705	426	589	483	715	216	1807	390	208	236	813	535	497	424	367	117	548
Calystegine_B2_(1MEOX)_(5TMS)_755799.31_PRED	61338	24188	10788	11538	18764	8224	7630	62572	15823	10368	12607	7529	35634	26475	31254	27847	71482	74603	133557
Calystegine_B4_(1MEOX)_(4TMS)_622338.06_PRED	8803	5412	8573	5956	7241	5392	 NA	5757	9897	5411	5164	4532	8436	4629	4834	8073	3985	4591	6591
"Caproic_acid,_2-oxo-_(1MEOX)_(1TMS)_326540.84_PRED"	2337	1673	950	2067	1409	3686	1677	1388	268	2795	3062	4374	1158	3307	2046	1583	2138	553	1918
"Caproic_acid,_2-oxo-_(1MEOX)_(1TMS)_MP_348738.16_TRUE"	774	707	741	798	1060	778	723	916	1082	737	868	894	766	703	823	929	934	66	1008
"Cellobiose,_D-_(1MEOX)_(8TMS)_BP_872226.81_PRED"	954	4732	4824	4389	4680	4740	3500	3994	2761	4005	 NA	3799	2796	4216	4611	4061	3389	36	3519
"Cellobiose,_D-_(1MEOX)_(8TMS)_MP_862370.81_PRED"	8069	14539	11123	14301	9771	15499	15522	15244	8545	15348	16808	17349	9841	15949	15821	9863	16828	21437	13771
"Cellobiose,_D-_(8TMS)_956973.06_PRED"	1927	1589	1473	1791	2162	1680	1899	881	1980	3096	1532	1711	1906	1369	1133	1180	1216	4352	1653
Cellotriose_(1MEOX)_(11TMS)_1180000.88_PRED	157144	170587	176529	174872	162958	182199	185223	175739	160188	183533	185773	195506	164379	183314	191417	172966	186200	183920	160293
Chalcone_methoxyamine_(1MeOX)_686269.62_PRED	12227	10255	9838	11545	14006	11172	12708	5570	12436	20993	9772	10598	12662	8762	7503	7744	8029	27945	10758
"Cholesterol, D6-"	573	616	790	582	1206	627	934	648	805	689	811	691	535	779	640	561	672	47	713
"Cinnamaldehyde,_3,5-dimethoxy-4-hydroxy-,_cis-_(1MEOX)_(1TMS)_MP_750812.31_TRUE"	3762	3256	3146	3364	7340	2468	2847	19303	5786	3549	1731	2879	3210	6602	6184	8899	16209	6434	15527
"Cinnamic_acid,_2-hydroxy-,_cis-_(2TMS)_566294.81_TRUE"	538744	465119	529353	476869	499671	496554	492102	476368	521433	497259	499568	516462	503499	483812	506007	551978	494133	487065	427720
"Cinnamic_acid,_2-hydroxy-,_trans-_(2TMS)_633587.31_TRUE"	514	894	669	926	609	1008	950	901	688	951	963	921	788	889	907	771	812	1177	886
"Cinnamic_acid,_2-methoxy-,_cis-_(1TMS)_527345_PRED"	3668	4009	4308	4191	4136	4258	4242	4075	4006	4382	4466	4589	3986	4043	4402	4160	4233	4292	3607
"Cinnamic_acid,_2-methoxy-,_trans-_(1TMS)_605440.38_PRED"	265	889	858	941	919	882	753	906	163	748	936	1038	655	902	916	891	847	2503	791
"Cinnamic_acid,_3,5-dimethoxy-,_trans-_(1TMS)_753001.19_TRUE"	18590	10511	15776	11623	15713	11235	8812	10847	16652	11710	9889	9209	16594	8666	9170	18224	7485	11924	10169
"Cinnamic_acid,_4-hydroxy-,_trans-_(2TMS)_686039.44_PRED"	336	751	746	665	874	692	550	582	510	646	582	627	508	601	744	811	519	31	632
"Cinnamic_acid,_4-methoxy-,_trans-_(1TMS)_676004.19_TRUE"	1103	759	874	813	1415	742	622	624	1341	630	899	872	513	690	688	791	770	64	719
Citramalate	1238	1274	1302	1744	1834	1476	1696	1226	683	1434	964	1123	1258	747	917	921	843	 NA	867
"Coniferylaldehyde,_trans-_(1MEOX)_(1TMS)_BP_722966.06_TRUE"	1703	708	1445	1385	1846	1265	2244	1177	1495	1698	1926	1408	1216	1130	1050	1153	1355	206	1608
Cycloeucalenol_(1TMS)_1145523.75_PRED	154	1866	2214	1923	2427	1956	2107	1767	658	2232	1630	1484	969	2061	1260	1423	1514	185	3267
"Cyclopropanecarboxylic_acid,_1-amino-_(1TMS)_150876.39_PRED"	718	778	726	1004	1174	779	673	924	1338	778	994	985	595	681	937	891	1105	48	870
"Cyclopropanecarboxylic_acid,_1-amino-_(3TMS)_396111.84_TRUE"	28631	25291	28888	26539	26584	27394	26599	26076	27396	27425	27517	28395	27177	26851	27810	28755	27042	27038	24114
Cystathionine_(2TMS)_741724.62_PRED	1541	1650	1195	1599	1438	1366	1241	1672	1387	1688	2279	1743	932	1788	1513	1153	1952	 NA	1001
Cystathionine_(4TMS)_754589.12_TRUE	1541	1650	1195	1599	1438	1366	1241	1672	1387	1688	2279	1743	932	1788	1513	1153	1952	110	1001
Cysteine_(3TMS)_479326.28_TRUE	393	14620	20255	16060	20479	16772	9167	13109	3524	10657	10583	10631	39921	11515	12599	32721	7076	22	15651
"Decan-1-ol,_n-_(1TMS)_394136.03_PRED"	58499	37584	50212	40339	50666	36433	30334	35432	56515	36701	31633	30358	51037	29232	31654	55564	24303	35726	34064
"Decane,_n-_135215.56_PRED"	2358	2054	1932	2146	1264	1660	1727	623	1202	1938	2007	1670	1558	1827	1129	789	989	180	1387
Decylplastoquinone_(2TMS)_829355.75_PRED	2491	2641	3709	1961	2025	2226	2518	1832	4769	1431	1503	1473	1904	2083	1840	1662	1409	54	2047
Diethylenglycol_(2TMS)_306329.94_PRED	6228	5381	3971	3376	3515	4468	3147	1504	5008	4352	3330	3691	3342	4831	3067	3285	1852	90	3216
Dihydroxyacetone_phosphate_(1MEOX)_(3TMS)_BP_597751.19_TRUE	3346	2744	2470	2374	3233	3022	2975	2014	3329	3772	3171	2858	2748	2606	1895	2234	1919	50	3847
"Docosanoate|Docosenoate, 13Z- (1TMS) [MP-1.1]"	 NA	20772	33308	691	1547	47388	21333	15549	119401	20465	379	384	105880	33844	1215	52906	13230	27	869
Docosanoic_acid_(1TMS)_904290.44_TRUE	112537	45348	60241	31442	42363	40176	57958	10740	134819	33415	13231	16823	61519	42602	31439	29043	26245	925	44803
Docosanoic_acid_methyl_ester_(FAME_MIX)_890291.06_PRED	192957	91831	136872	102481	136956	92964	75390	92072	161768	97484	82977	78971	136727	74573	80868	139819	66470	104525	86332
"Docosenoate, 13Z- (1TMS) [MP-1.1]"	205320	125459	175752	135827	171427	129262	107715	122231	199547	130981	108780	104250	174553	99767	110402	192708	82638	123114	122636
"Docosenoic_acid_methyl_ester,_13-(Z)-_885243.31_TRUE"	170067	104948	152402	116365	155657	105903	92626	104909	174538	114028	96823	90995	151634	83588	98880	167267	74423	109172	102892
Dodecane_260776.19_PRED	62567	37562	53383	43411	50881	38381	32364	36915	61970	39097	31790	32649	54207	30077	32528	54845	26705	39527	34945
Dodecanoate (1TMS) [MP-1.1]	51533	31973	46838	34011	45160	30725	26391	32236	49871	32894	27680	25823	47081	25535	29150	46909	22026	31769	31384
Dodecanoic_acid_(1TMS)_528526.38_PRED	37279	23354	35244	24656	33640	23880	21105	24328	39654	23258	22402	19321	33544	18136	20739	33255	15984	22170	22167
Dodecanoic_acid_methyl_ester_(FAME_MIX)_476505.97_PRED	27824	18191	27720	20898	28531	19096	17527	18178	32928	17778	16755	15818	28053	14831	16585	27016	11862	15724	18462
Dopamine_(4TMS)_693757.5_TRUE	19883	13912	26327	15005	19483	14152	15769	14236	29183	13640	13001	11417	22679	10844	12812	19239	8762	10685	13374
"Dotriacontane,_n-_1074008.75_PRED"	9280	6076	15303	6792	8931	6477	8561	6574	15145	6151	5860	5380	11543	4833	5361	9374	3819	5193	5430
"Eicosan-1-ol,_n-_(1TMS)_828557.88_PRED"	44860	69313	99939	72513	104074	71963	53358	68258	108038	73183	61444	58567	114861	54277	61116	114375	46559	17440	64526
"Eicosane,_n-_695693.12_PRED"	120086	71719	105517	74730	105526	70756	56081	70119	124546	76138	62970	60345	101625	55966	61888	113334	48366	48010	66558
"Eicosatetraenoic_acid,_5,8,11,14-(Z,Z,Z,Z)-_(1TMS)_835936.56_TRUE"	2204	1050	1101	976	1443	801	1212	1550	2353	1174	1031	927	1099	1401	1723	1028	1218	2040	988
"Eicosenoic_acid_methyl_ester,_11-(Z)-_811732.75_PRED"	1224	1169	1456	1430	1281	924	2054	837	905	1295	2106	666	1150	948	562	290	600	102	1415
Erythritol|Threitol (4TMS) [MP-1.1]	684	817	865	845	616	678	654	644	934	560	781	541	551	678	694	647	557	167	816
Erythrose-4-phosphate_(1MEOX)_(4TMS)_BP_637886.19_TRUE	1906	1784	2193	1945	1280	1231	2857	900	1082	1704	3131	1192	1630	1201	678	706	643	160	1664
Ethanolamine_(3TMS)_321815.91_PRED	7009	6006	3892	2995	4576	5556	2854	1868	6232	4739	2646	4060	3616	5602	4151	4151	2637	69	3258
FAME C12:0	11126	9565	9105	10775	12656	10310	12131	5155	11417	19906	9087	9694	11843	8107	6988	7260	7490	26456	10084
FAME C20:0	502817	601332	579257	631220	536776	641101	675265	632824	476363	636075	673553	724265	578181	677603	679241	619653	717496	676467	544358
FAME C22:0	2223	1794	814	1870	1371	3358	1459	1423	237	2598	2703	3942	1262	3149	1825	1487	2143	583	1814
FAME C24:0	2155	2103	2023	2275	1870	2150	2137	1784	2561	2003	2331	1930	1663	2218	1909	1797	2005	2434	3004
FAME C26:0	3052	2484	2729	2617	2600	2478	2862	2214	3362	2743	2596	2503	2048	2960	2545	2434	2575	4103	3899
FAME C28:0	4172	6897	5628	4717	4246	4739	3158	6821	5199	4391	2888	4284	3169	5997	5178	4001	4030	5471	3228
FAME C30:0	122839	209304	170948	208252	149947	228457	212808	221058	128884	225853	232528	230431	148546	209269	228624	152112	195304	239964	209146
FAME C8:0	353	2096	1950	2020	1663	2362	2477	2190	1465	2350	2127	2376	2009	2400	2165	1779	2596	56	1764
Fucose_(1MEOX)_(4TMS)_BP_528624.81_TRUE	2250	19046	17902	18649	15988	20467	21393	19392	12104	20532	19220	22106	15374	20659	20073	16744	22354	60	16031
Fumaric_acid_(2TMS)_371909.34_TRUE	682	6516	7112	6548	8419	6897	7083	6718	2182	7689	5814	5439	4620	7486	5014	5900	5692	1125	12061
Galactinol (9TMS) [MP-1.2]	42658	41451	44505	43640	41976	43155	39863	48717	41826	44817	44833	44783	42653	40839	43247	53174	42141	43801	36972
Galactitol_(6TMS)_590143.5_TRUE	3265	8462	8454	8648	7126	9158	9847	9020	6893	9418	9231	10682	7674	9779	9206	7734	10057	305	7961
"Galactonic_acid-1,4-lactone_(4TMS)_619566.38_PRED"	987	703	886	894	681	492	1369	287	609	666	1639	397	792	483	215	152	248	55	704
"Galactopyranoside,_1-O-methyl-,_alpha-_(4TMS)_585464.62_TRUE"	2754	4181	4325	4558	4228	2894	4157	2624	3401	4429	5783	3123	4132	3734	2882	2937	2045	2891	8559
"Galactose,_2-amino-2-deoxy-,_D-_(1MEOX)_(5TMS)_662843.5_PRED"	44124	38986	35330	36691	82958	29423	31660	240041	70373	43150	18828	34492	36548	77967	69739	105682	208798	67414	192337
"Galactose,_2-amino-2-deoxy-,_D-_(1MEOX)_(5TMS)_666571.38_PRED"	287567	441881	361314	447060	324470	481514	428111	473198	272920	470583	476277	474700	327407	416488	474008	340064	394889	478129	431347
"Galactose,_2-amino-2-deoxy-,_D-_(5TMS)_642472.56_PRED"	5820	5305	6284	5549	3773	3225	8939	2659	3011	4696	9468	3020	4512	3173	2105	1438	1748	389	4420
"Galactose,_2-deoxy-_(1MEOX)_(4TMS)_BP_560991.25_TRUE"	1155	815	946	904	724	488	1327	429	446	735	1450	455	739	531	345	210	287	92	761
"Galactose,_2-deoxy-_(1MEOX)_(4TMS)_MP_562514.44_TRUE"	419	1095	972	1007	947	525	665	517	453	1094	977	674	413	557	554	908	585	468	1538
Galactose_(1MEOX)_(5TMS)_BP_588777.81_PRED	9732	8272	7524	7730	18033	6465	6717	53407	14407	9601	4230	7357	8137	17019	15575	23342	46194	15005	42413
Galactose_(1MEOX)_(5TMS)_MP_587519.31_PRED	869	7210	6410	7257	5718	7766	7851	7249	4550	7722	7164	8156	5922	7580	7639	6346	8659	35	5680
Galactose-6-phosphate_(1MEOX)_(6TMS)_MP_813217.38_PRED	5567	15811	15478	15179	11235	17253	16541	13762	11590	17312	17343	16258	11629	15332	14590	12618	14002	12360	16315
Gallic_acid_(4TMS)_660130.31_TRUE	141618	250324	188653	247534	168846	278034	283734	268456	137240	270490	300829	309811	169959	283946	287125	173830	283416	360726	251760
Gentiobiose_(1MEOX)_(8TMS)_BP_970360.12_PRED	1297	994	1112	2203	1508	1206	1666	687	2448	1020	1857	1155	1091	846	1261	654	689	60	2530
Gibberellin_A1_(3TMS)_958959.56_PRED	1224	1057	1230	1012	768	663	1642	473	649	905	1690	590	940	628	418	350	361	127	900
Gibberellin_A3_(3TMS)_969084.75_PRED	3088	2528	2795	2804	4136	2554	2909	2573	3606	2334	2592	2373	2193	2327	3440	2318	2711	 NA	2466
"Glucaric_acid-1,4-lactone_(4TMS)_660551.44_TRUE"	3228	26240	27518	37880	62996	56588	61575	29625	49695	54737	57752	36927	41618	40095	36929	42160	37356	43	92858
Glucoheptose_(1MEOX)_(6TMS)_MP_668728.75_PRED	206	673	916	2464	1591	708	792	494	787	597	1481	1156	784	534	1424	609	403	70	2928
"Gluconic_acid,_2-amino-2-deoxy-_(6TMS)_686570.5_PRED"	49250	92972	79107	90226	66035	100415	92138	93526	60288	100016	99780	96082	66552	87151	95822	68052	78281	91064	93602
"Gluconic_acid,_2-amino-2-deoxy-_(7TMS)_641273.75_TRUE"	2488	13031	13643	13021	9779	14356	14570	10162	10719	14699	15429	14328	9996	12440	11704	11079	11091	4699	14910
Gluconic_acid_(6TMS)_627052.12_TRUE	1125	480	538	578	681	532	653	319	688	976	511	443	654	418	445	439	408	1395	536
"Gluconic_acid-1,4-lactone_(4TMS)_646839.44_PRED"	2877	2140	902	2576	1783	4656	2014	1715	273	3326	3853	5309	1265	4305	2500	1971	2748	665	2228
Glucose 6-P|Galactose 6-P (1MEOX 6TMS) [MP-1.2]	729	3107	3425	3591	3912	3386	2698	2858	3292	2993	2978	3274	5724	3003	3171	3881	2434	152	3443
"Glucose, 1,6-Anhydro- (3TMS) [MP-1.1]"	52478	32500	37758	54683	45904	43892	57413	28596	42329	58391	72853	48715	35183	42204	30665	27824	44115	44	44936
"Glucose,_1,6-anhydro-,_beta-_(3TMS)_558133.69_TRUE"	497	546	669	745	781	441	524	515	973	532	493	571	540	396	606	522	402	330	707
"Glucose,_2-amino-2-deoxy-_(5TMS)_MP_600525.75_TRUE"	1104	1568	1236	1353	1967	1366	855	1097	1658	1184	699	1020	1451	1317	830	1009	833	103	1314
"Glucose,_2-deoxy-_(1MEOX)_(4TMS)_BP_557943.19_TRUE"	2778	7540	4666	6135	9297	5968	5778	17779	6738	7382	13720	8492	5229	7935	14106	12661	17298	2822	3015
"Glucose,_2-deoxy-_(1MEOX)_(4TMS)_MP_559520.5_TRUE"	1123	879	1230	1501	1676	1121	1847	852	1839	1246	1493	1050	1827	933	989	1115	700	52	2740
"Glucose,_3-deoxy-,_D-_(1MEOX)_(4TMS)_589111.5_PRED"	985	 NA	835	924	762	540	1271	279	 NA	652	1390	462	914	425	441	384	275	35	813
"Glucose,_3-O-methyl-_(1MEOX)_(4TMS)_613285.81_PRED"	 NA	50214	44037	67662	76257	35731	23896	64180	1885	51216	84951	65712	5714	48461	38497	51314	40460	1350	46580
"Glucose,_3-O-methyl-_(1MEOX)_(4TMS)_618213.81_PRED"	14958	10558	10847	8895	9939	8424	5761	7619	13392	7138	7024	6660	9408	8598	8565	6918	7555	17089	7082
Glucose_(1MEOX)_(5TMS)_BP_599322.19_TRUE	2003	1875	2268	2078	1495	1368	3063	962	1180	1887	3328	1199	1894	1332	784	561	755	280	1751
"Glucose-6-phosphate,_2-amino-2-deoxy-_(6TMS)_802931.06_TRUE"	 NA	1566	1855	1695	2230	1707	1807	1461	497	1810	1343	1293	900	1827	1097	1468	1364	258	3008
Glucose-6-phosphate_(1MEOX)_(6TMS)_BP_781714.75_PRED	13343	14205	15225	15127	13702	15756	15496	14971	13936	16107	15142	16730	13304	15263	16142	14605	15601	15565	13849
Glucuronic_acid_(1MEOX)_(5TMS)_MP_619868.12_PRED	3589	4060	6123	3525	3656	3643	4285	3211	6747	2905	2978	2626	3498	3856	3291	3362	 NA	318	4337
Glutamine ([-H2O]3TMS) [NN-4.1]	7068	8299	11566	6391	6390	6725	7680	6870	14509	4434	4862	4385	5600	6492	5951	5516	5009	72	7584
"Glutamine,_N-acetyl-,_DL-_(3TMS)_655207.31_PRED"	822	30956	40785	34307	41801	35290	18360	25525	7135	20886	21267	22650	115328	24241	25423	70109	13939	 NA	32646
"Glutarate, 3-hydroxy-3-methyl- (3TMS)"	32494	16866	19453	23384	18485	16759	12144	15655	22436	16868	14749	13621	27116	14637	12513	19431	10282	11950	15776
Glyceraldehyde_(1MEOX)_(2TMS)_BP_289982.38_PRED	 NA	61596	82825	68193	83967	72794	37522	50913	13955	40974	43471	45322	291624	49202	52068	143891	28289	10	66384
Glyceraldehyde-3-phosphate_(1MEOX)_(3TMS)_BP_571519.81_TRUE	319	815	682	729	564	747	846	706	666	785	756	808	643	856	782	641	805	106	628
Glyceraldehyde-3-phosphate_(1MEOX)_(3TMS)_MP_577300.12_TRUE	7456	1533	1739	1251	1187	1656	2043	702	3190	1484	936	1098	1745	1610	1653	1301	1633	82	1658
Glycerate	1411	6485	7890	6949	11768	5631	9637	3018	5691	6620	7814	8599	3473	4335	4977	3547	5250	49	6190
"Glyceric_acid-1,3-diphosphate_(5TMS)_927041.38_PRED"	1411	6485	7890	6949	11768	5631	9637	3018	5691	6620	7814	8599	3473	4335	4977	3547	5250	39	6190
Glyceric_acid-3-phosphate_(4TMS)_606948.88_PRED	1780	727	811	1126	1680	1540	1586	846	1663	1332	1678	900	1216	1116	1098	1210	1026	79	2606
