putative Compound	hum_101_4 _lun	hum_102_4 _lun	hum_103_4 _lun	hum_104_4 _lun	hum_105_4 _lun	hum_106_4 _lun	hum_120_4 _lun	hum_121_4 _lun	hum_141_4 _lun	hum_153_4 _lun	hum_98_4 _lun	Wt_132_4 _lun	Wt_133_4 _lun	Wt_134_4 _lun	Wt_135_4 _lun	Wt_142_4 _lun	Wt_147_4 _lun	Wt_148_4 _lun	Wt_152_4 _lun	Wt_91_4 _lun	Wt_wt4_4 _lun
Ascorbic_acid_(4TMS)_652392.44_TRUE	2745	2235	2042	2575	2316	2700	2166	2263	2787	3321	2280	2596	1942	1306	1272	2791	2128	3506	3185	2769	2191
Asparagine (3TMS) [MP-1.1]	128452	89168	56012	98283	57124	101551	107559	89145	81986	91280	83657	119957	61966	61959	22786	45433	80577	100805	114422	102203	113075
Asparagine_(3TMS)_550488.31_TRUE	13016	9460	6314	10097	6251	10908	10811	9085	8746	9993	8790	32676	7081	6578	2928	5101	8595	10311	11094	10437	11316
Aspartate (3TMS) [MP-1.1]	37468	31921	29780	29642	35700	49769	40358	36723	44837	54773	38112	43963	47652	29515	28970	38017	55551	54125	35492	41731	41238
Aspartic_acid_(2TMS)_458076.97_TRUE	10619	8413	8639	8146	9282	12874	10210	10045	12304	13945	9761	12389	12942	7737	7932	9914	13907	13257	9263	11847	11235
Aspartic_acid_(3TMS)_458039.69_TRUE	36459	30393	28632	28616	35888	50355	40038	37209	45505	52752	36139	43263	48209	29863	28760	37926	56765	53072	35045	41766	41728
Benzoate (1TMS) [MP-1.1]	757	777	689	932	1285	938	477	557	675	1362	924	684	702	384	628	750	505	1061	478	1220	529
"Benzoic_acid,_4-amino-_(2TMS)_650574.94_TRUE"	4390	3749	3688	4614	4588	4642	3876	4015	4536	5628	4071	4500	3713	2247	2427	4923	3671	5789	5641	4896	3784
"Butane,_1,2,4-trihydroxy-_(3TMS)_345095_TRUE"	101544	43970	53521	57440	48257	81871	54066	46127	64124	79426	86832	46893	42582	30576	41877	79993	41330	59363	56577	73255	38903
"Butanoate, 4-Amino- (2TMS) [MP-2.1]"	47264	21653	24825	26687	24659	37151	24847	21950	31800	38045	41224	22900	21650	14795	20526	38034	19715	28255	26512	35426	18771
"Butanoic_acid,_2-amino-_(2TMS)_249223.84_TRUE"	403	709	456	520	793	725	526	360	411	845	343	375	386	359	382	444	797	762	519	465	461
"Butanoic_acid,_2-oxo-_(1MEOX)_(1TMS)_MP_252911.77_PRED"	19825	437490	126062	159651	745443	108199	55150	132927	355053	255205	20321	243388	102851	116052	122989	69289	83954	123955	201419	362541	76300
"Butanoic_acid,_3-hydroxy-_(2TMS)_249401.72_PRED"	665	718	727	917	2609	890	1497	625	531	1923	644	1082	506	517	1880	722	2924	2011	1536	612	354
"Butanoic_acid,_4-amino-_(2TMS)_342578.41_TRUE"	9912	4639	5136	5849	4811	7796	5276	4628	6596	7501	8224	4705	4027	3280	3693	7315	4116	5945	5281	6926	3819
"Butyrate, 2-Amino- [MP-1.1]"	403	709	456	520	793	725	526	360	411	847	343	375	386	359	382	444	797	762	519	465	461
"Butyric_acid,_3-amino-,_DL-_(2TMS)_281258.31_PRED"	19097	18289	16333	1906	18815	10386	6863	13063	35925	20502	26970	22101	5683	8651	4635	7701	732	16210	12006	15457	9476
"Butyro-1,4-lactam_(1TMS)_241244.02_PRED"	1294	11202	5836	9276	7914	9064	2919	4891	5598	10729	814	3813	4735	4139	1980	4427	12771	10757	3609	5839	5220
Calystegine_A3_(1MEOX)_(3TMS)_BP_588253.69_PRED	6775	6543	5908	6581	6355	6226	6550	6654	6382	5957	5955	6576	6321	6262	6521	6441	6910	6422	6847	5573	6597
Calystegine_B4_(1MEOX)_(3TMS)_598843.25_PRED	8844	8726	8926	9247	9378	9013	8792	8984	9179	8975	8685	9340	9011	8367	8598	9340	9288	9481	9236	8392	9194
"Caproic_acid,_2-oxo-_(1MEOX)_(1TMS)_326540.84_PRED"	2983	1645	788	1205	689	934	1037	840	1660	738	4125	1515	291	929	242	668	233	435	548	605	1263
Cellobiitol_(9TMS)_870156.12_PRED	983	992	573	1375	547	840	854	371	515	1327	1211	333	495	350	366	766	483	1024	1053	379	1339
"Cholesterol, D6-"	6231	6732	5070	4926	8432	6652	3275	3490	5892	11531	4778	4546	4304	3651	3361	4494	4090	6106	3673	8031	4233
Cholesterol_(1TMS)_1079629_TRUE	4416	2041	2019	2477	5827	4901	1412	5771	3176	5930	6134	4225	4098	2579	1540	2366	3652	3737	2394	5618	3737
"CinNaNmic_acid,_3-hydroxy-,_cis-_(2TMS)_599148.38_TRUE"	1684	2754	2601	2676	2955	2656	1694	1955	1997	3063	1432	2335	2334	1955	1641	1979	2405	2717	2363	2672	2265
"CinNaNmic_acid,_3-hydroxy-,_trans-_(2TMS)_653564.75_TRUE"	3788	3201	2942	3792	3519	3704	3188	3547	3722	4821	3532	3784	3057	2021	1936	3983	3083	5130	4820	4000	3192
"CinNaNmic_acid,_3-methoxy-,_cis-_(1TMS)_587950.5_TRUE"	19243	18286	17666	19438	18338	17941	19332	19551	19395	16874	17775	20106	17894	18097	19311	19021	19512	18395	19857	16672	19506
"CinNaNmic_acid,_3-methoxy-,_trans-_(1TMS)_649428.75_TRUE"	24752	21283	20246	25404	24256	25979	20390	22892	25579	31468	22887	26191	20574	12841	13599	28229	20697	34442	31328	26357	20991
Citrate (4TMS) [MP-1.1]	8616	9362	7520	8835	13467	8890	10145	7918	9688	13251	9622	10747	10155	5978	8130	9418	8025	11423	9915	11126	7459
Cysteine_(3TMS)_479326.28_TRUE	4492	3930	3137	5343	6913	7985	7754	4518	3214	4039	5074	2983	5384	3455	2532	3729	5642	2551	2817	4126	5229
Cystine_(4TMS)_791615.31_TRUE	1405	499	170	236	295	801	454	231	80	693	4176	89	358	227	198	145	557	151	85	105	238
Dehydroascorbic_acid_(2MEOX)_BP_639171.94_PRED	329	2340	896	1715	2556	2129	2219	1584	1678	1656	1633	1434	1912	1151	498	1757	1953	1018	989	994	2172
Dihydroxyacetone_phosphate_(1MEOX)_(3TMS)_MP_591892.31_TRUE	4204	4124	3796	4206	3979	4019	4055	4157	4138	4039	3827	4401	3995	3783	4314	3909	4184	4306	4322	3751	3969
"Docosahexaenoic_acid,_4,7,10,13,16,19-(Z,Z,Z,Z,Z,Z)-_(1TMS)_907201.25_TRUE"	1154	522	438	367	507	648	550	448	414	689	1894	437	430	432	333	828	713	1098	719	786	411
"Docosenoate, 13Z- (1TMS) [MP-1.1]"	1141	519	441	341	505	670	576	416	320	571	1611	365	399	413	282	680	722	915	717	644	473
Dodecane_260776.19_PRED	2265	44154	13297	17234	69346	11500	5940	13771	35096	28305	2220	23629	10489	12261	13608	7581	9165	13673	20207	38803	8415
"Erythronic_acid-1,4-lactone_(2TMS)_462181.38_TRUE"	7580	6322	5889	5771	7259	9760	8112	7416	9198	10618	7340	8672	9892	6056	5951	7784	11480	10551	7353	7850	8442
Ethanolamine [MP-1.1]	41811	34580	34131	2427	24682	21261	14336	27475	72781	41397	60711	45717	10764	17330	8955	16843	815	31785	25282	29892	19981
Ethanolamine_(3TMS)_321815.91_PRED	272631	118965	56517	93238	39484	81356	94542	72912	140436	47934	396420	126766	21831	71058	19195	53498	16223	36719	42171	46783	98953
FAME C10:0	99256	127494	104840	97558	159361	119885	60637	65278	110248	187418	99177	80368	82224	68268	61458	88910	65508	122136	65086	144667	77820
FAME C12:0	115745	158583	119369	116168	181491	147887	73510	80797	138591	229980	113734	97115	99875	84482	73883	102810	84254	136373	80916	171454	98323
FAME C14:0	127899	170795	127394	130371	194534	161009	82501	87040	142382	242873	114544	104199	106663	91459	72698	109869	90258	148272	86535	184940	108826
FAME C16:0	102469	136920	113489	107223	156020	126072	66374	72176	121258	199407	101839	83347	85273	71022	59095	84765	72958	117489	72463	143351	87239
FAME C18:0	39431	49817	39116	37371	56388	45788	23340	27526	43545	73156	34407	29995	31749	25508	21902	32242	26080	44092	26068	51165	31163
FAME C20:0	36591	49128	36864	37131	53753	45211	21741	24364	40644	68155	34358	29478	30400	25998	21729	30869	25960	42115	23680	50220	30726
FAME C22:0	32855	43760	34830	30953	46522	38802	19189	21155	33690	56246	28807	25561	26716	21530	17031	26441	22613	35887	20410	43665	24059
FAME C24:0	23291	30474	24262	23068	36440	30554	15512	15277	26880	45251	20345	18896	20016	15756	14021	19485	16530	26654	15024	32617	18817
FAME C26:0	18340	25044	20045	18497	29512	22402	11801	11721	21688	39099	16097	14852	15899	13063	10693	15426	13594	21039	12225	25173	15517
FAME C28:0	18714	17816	13787	13635	21220	17612	9054	9027	17437	34976	11353	10747	10793	9223	9021	11240	10479	14873	9509	19820	11088
FAME C30:0	11491	8682	6541	5893	9463	8305	4229	4006	9267	20775	5030	5083	5376	4353	4417	5304	5110	6854	4832	9784	5060
FAME C8:0	10164	23587	13741	13625	47529	14848	7828	10121	21684	26049	7541	15273	11408	10112	10358	11454	8808	14644	11865	24207	9751
FAME C9:0	80799	99778	80175	73954	123141	90045	47919	50500	88902	150889	78596	62226	62316	51307	48440	69834	49003	85117	51099	114886	58517
Fructose (|Psicose) (1MEOX;5TMS) [MP-1.1]	1010	1241	1260	1709	1890	1538	952	1289	1248	1127	1204	1333	2816	815	1005	1324	1049	1677	1579	1266	1009
Fructose (|Sorbose) (1MEOX;5TMS) [MP-1.2]	785	906	668	1114	1116	1060	437	745	711	569	904	785	1776	369	619	832	677	974	1042	803	524
Fructose_(1MEOX)_(5TMS)_BP_585803.75_TRUE	58063	54653	52802	58375	57713	55685	58369	58323	57205	52206	54845	61726	54536	54372	59471	59129	59221	58579	58762	52531	58466
Fumarate (2TMS) [MP-1.1]	1065	1752	1437	1909	1688	1405	1051	1966	1709	1909	1011	1718	946	1334	956	1288	1713	2305	1472	1273	1053
Galactaric_acid_(6TMS)_658294.38_TRUE	23768	20392	19329	23491	23479	24913	19789	21677	24163	30430	21791	24633	19882	12404	12811	26822	19505	32486	29858	24766	20141
"Galactonic_acid-1,4-lactone_(4TMS)_619566.38_PRED"	52	65	696	75	5076	NaN	234	133	38	3112	187	61	6155	20	3721	842	5826	1490	630	2597	52
"Galactono-1,4-lactone [MP-1.1]"	599	542	528	573	380	771	629	540	592	785	600	683	603	409	NaN	623	482	563	588	568	620
"Galactopyranoside,_1-O-methyl-,_alpha-_(4TMS)_585464.62_TRUE"	65230	62386	59279	65744	62967	61725	64076	64563	64534	58682	60989	68595	58359	61776	61255	62552	64544	64486	64349	57709	65591
"Galactopyranoside,_1-O-methyl-,_beta-_(4TMS)_598177.19_TRUE"	13463	14849	14799	15359	15194	15309	14505	14453	14652	15090	13380	15471	14553	14162	13424	14155	15499	15628	15256	14528	14858
"Glucaric_acid-1,4-lactone_(4TMS)_660551.44_TRUE"	1332	2022	1942	1578	1778	1819	1848	1800	2032	1800	763	1976	1604	1623	1424	1780	1543	1961	1752	1896	1860
GlucoNaNte|GalactoNaNte [MP-1.1]	NaN	7226	2847	6197	8024	7235	7404	5100	5755	5601	3956	4848	7044	3907	1877	5672	7419	3649	3303	3689	7205
"Gluconic_acid,_2-oxo-_(1MEOX)_(5TMS)_BP_593592.06_TRUE"	5164	4987	4953	5191	6086	5341	5429	5301	5043	4983	4929	5384	5697	4663	6618	5899	5413	5784	5674	5546	5340
"Gluconic_acid-1,4-lactone_(4TMS)_646839.44_PRED"	1251	1076	1253	1037	2083	1288	964	1143	1021	2234	984	1209	2633	963	1553	1108	3272	1504	1254	2348	1097
Glucopyranose_[-H20]_(4TMS)_561007.94_TRUE	348	866	1061	1213	1266	1264	1022	704	1020	1351	467	957	843	617	802	850	1072	896	737	1291	1095
"Glucopyranoside,_1-O-methyl-,_alpha-_(4TMS)_613929.06_TRUE"	720	836	526	727	566	1163	537	523	979	1220	468	764	400	518	312	787	520	866	634	698	806
Glucose (1MEOX;5TMS) [MP-1.2]	30063	28801	29774	30370	31472	29839	29623	29867	31078	30770	28718	30753	30216	28354	29789	29506	31096	30445	30732	29897	30154
Glucose_(1MEOX)_(5TMS)_BP_599322.19_TRUE	13753	13915	14040	13884	14261	14359	13951	14246	14396	13823	13415	14568	14076	13369	14532	14548	14913	14065	14358	13472	14317
"Glucuronic_acid-3,6-lactone_(1MEOX)_(3TMS)_MP_657311_TRUE"	44391	37484	34628	44435	42623	45151	36413	39850	45492	55989	40016	45987	36310	22437	23910	49895	35531	59740	55283	45666	36394
Glutamate (3TMS) [MP-1.1]	37570	42535	40055	42645	57569	63571	53765	45190	55616	75054	24951	52655	58498	32490	38592	49120	77128	64846	47446	61175	53679
Glutamine [MP-1.1]	21734	39187	37235	39846	44146	36218	22261	26701	27619	41097	14285	33385	31139	26127	22213	25949	34717	36285	31172	41792	33072
"Glutamine,_N-acetyl-,_DL-_(3TMS)_655207.31_PRED"	1238	1050	873	1236	1226	1270	973	998	1220	1649	1154	1207	896	678	604	1248	1015	1425	1558	1284	995
Glyceraldehyde-3-phosphate_(1MEOX)_(3TMS)_BP_571519.81_TRUE	25372	27696	19400	24830	29966	42299	28286	17797	19776	40165	21332	22882	29752	17124	16465	20906	35185	24469	19576	28857	26512
Glycerol ((3TMS)) [MP-1.1]	9814	10089	7223	11815	8442	5299	7121	7215	5249	22762	7523	6573	7011	3497	7805	9444	7268	16284	10507	7938	5215
Glycine (2TMS) [MP-2.1]	2861	88735	133823	116795	262539	162568	144880	111841	55635	201190	12312	85644	217168	63374	160290	114188	226128	110389	91736	220125	95395
"Glycine,_N-acetyl-_(1TMS)_334790.31_PRED"	6975	4738	4724	5501	6890	5740	4831	4864	6223	7493	6732	6771	4592	4297	4253	5948	4966	6636	4569	6281	4471
"Glycine,_N-cinNaNmoyl-,_trans-_(2TMS)_737734.19_PRED"	529	749	526	522	698	688	498	557	775	682	517	594	605	376	420	411	673	448	385	675	520
Glycylglycine_(3TMS)_628479.25_TRUE	263	2225	811	1683	2461	1960	2012	1521	1537	1694	1154	1300	1962	1100	422	1622	2067	971	847	1077	2109
Glycylglycine_(4TMS)_591933.56_TRUE	1727	1570	1572	1667	1703	1766	1642	1678	1611	1498	1643	1722	1564	1642	1695	1578	1761	1717	1738	1450	1673
Guanosine-5-monophosphate_(6TMS)_1065235.12_TRUE	2547	1825	1811	1661	2331	1944	1541	1639	1542	3654	1796	1843	1354	1057	1052	1135	2200	1802	1625	2467	1520
Gulose_(1MEOX)_(5TMS)_MP_584150.19_TRUE	597	742	582	746	829	545	595	624	557	776	645	688	685	584	656	626	576	749	626	466	641
"Heptacosanoic_acid,_n-_(1TMS)_1053682.38_PRED"	3621	1882	2075	2155	2651	2678	2071	2225	2669	3992	1778	3004	2419	1559	1632	1334	1935	2583	2054	2755	2227
"Heptanoic_acid,_n-_(1TMS)_255612.95_PRED"	3901	105533	27056	35200	201990	22656	12043	29903	100619	55633	3816	67429	22101	25142	28230	14121	17982	26116	47719	78970	16231
Hexadecanoate (1TMS) [MP-1.1]	16142	20714	18152	15069	24763	19353	10392	12969	16208	26992	14944	11984	15205	10423	9575	13963	12167	20712	8644	21350	13900
Hexadecanoic_acid_(1TMS)_697328.75_TRUE	1629	1969	1781	1544	2806	2162	1101	1285	1667	2783	1562	1248	1542	1077	1003	1574	1222	2016	920	2067	1363
"Hexanoic_acid,_2-ethyl-_(1TMS)_254181.88_PRED"	7846	238693	54387	72510	607510	45285	23075	61105	258009	111986	7751	174091	44190	51994	57943	27782	36409	52465	104380	165369	32366
Histidine (4TMS) [MP-3.1]	3302	651	364	545	155	355	376	508	1211	311	4043	906	197	417	53	119	135	401	303	195	577
Homoserine_(2TMS)_380616.94_PRED	453	8994	7654	9720	6270	14704	5422	10414	12448	58260	48	10538	24159	11300	5783	20370	21371	437203	10336	2074	15296
Homoserine_lactone_(2TMS)_458933.88_PRED	4943	4559	4028	3903	4828	6644	5448	4990	6092	7146	4979	6136	6500	3995	3944	5082	7637	7533	4834	5769	5650
Hypotaurine_(3TMS)_509415.53_TRUE	26870	15002	13419	14249	18319	20905	17298	14836	18672	23276	23495	18043	18063	11099	11277	15459	23368	21709	15499	19458	17587
Hypoxanthine_(2TMS)_659841.12_TRUE	405	1293	592	370	579	529	192	420	295	1156	447	359	259	449	282	764	643	1307	884	689	202
"Indole-3-acetic_acid,_1H-_(1TMS)_668169.31_PRED"	1238	1536	1416	1206	2208	1407	870	782	1305	2269	1153	978	1078	773	741	1032	809	1316	799	1799	1012
"Indole-3-butanoic_acid,_1H-_(1TMS)_755498.5_PRED"	287	728	596	512	772	652	479	514	497	818	263	630	492	469	372	461	570	928	487	679	433
Inosine_(4TMS)_904803.88_TRUE	3229	1293	1186	926	1179	1875	1347	1136	943	1618	5262	833	1110	1029	761	1828	1889	2664	2038	1454	1043
Isocitrate (4TMS) [MP-1.1]	14488	15282	15228	15159	16486	15131	14402	14874	15203	15405	14358	15101	14918	14076	14720	14740	15543	15330	15392	14699	15229
Isocitric_acid_(4TMS)_597989.19_TRUE	1814	3230	2754	3176	3479	2816	1805	2050	1929	3174	1199	2493	2347	2017	1847	2006	2552	2804	2288	3140	2620
Isoleucine (2TMS) [MP-1.1]	2675	1874	2086	1993	3309	3590	1430	1832	2554	3147	2471	1815	1759	1663	2128	2336	2334	2948	2184	2984	1562
Leucine (2TMS) [MP-1.1]	4788	3930	3838	3643	4798	6359	2545	3477	4586	6143	4764	3382	3411	2902	3351	4449	4687	5839	4218	5972	3284
"Leucine,_cyclo-_(2TMS)_377176.62_TRUE"	58	331	345	343	212	579	229	313	454	1825	90	396	834	390	182	676	712	12107	322	240	516
Leucine_(1TMS)_248763.44_PRED	590	1358	662	NaN	751	979	614	650	962	1120	218	500	483	798	330	1058	1198	NaN	638	NaN	1171
"Levulinic_acid,_5-amino-_(1MEOX)_(3TMS)_BP_591715.44_TRUE"	6035	5946	5832	6327	6523	6103	6018	6442	6224	5897	6011	6473	5969	5723	6119	6170	6500	6372	6371	5979	6082
Lysine (3TMS) [MP-1.1]	4236	2678	1974	2455	1302	3315	1916	2310	4173	2376	3262	3106	763	2527	825	2550	716	2527	2833	1576	3409
Malate (3TMS) [MP-1.1]	4378	4226	3357	3975	4692	3841	4331	3862	4270	7657	3500	4305	4497	3265	3947	3462	4453	6285	3885	3914	3440
Malic_acid_(3TMS)_442513.44_TRUE	1650	1509	1274	1346	1769	1356	1604	1437	1684	2887	1243	1621	1731	1211	1546	1430	1640	2283	1567	1608	1370
Mannitol|Sorbitol (6TMS) [MP-1.1]	18257	11039	8970	11024	11037	13427	6712	7225	13858	18499	18273	11323	7137	8045	5086	8679	6559	12355	8274	11848	10219
"Mannopyranoside,_1-O-methyl-,_alpha-_(4TMS)_559825.75_TRUE"	1753	1483	1161	1568	1058	1852	1202	1370	1630	1927	1326	1731	2100	1036	535	751	1172	2052	1240	1287	1405
Methionine (2TMS) [MP-1.1]	1454	1448	1176	1269	1580	2420	1190	1162	2380	2265	1238	1158	1178	827	911	1732	1194	1843	1358	2031	1276
"Mevalonic_acid-1,5-lactone_(1TMS)_454636.47_TRUE"	5166	3930	3974	3900	4968	6418	5403	4816	6049	7157	4967	5750	6280	3927	3751	4764	7318	6984	4531	5259	5847
myo-Inositol-1-phosphate_(7TMS)_788938.62_PRED	718	580	499	911	450	574	321	409	345	825	659	531	507	358	285	610	662	744	274	528	403
NicotiNaNmide (1TMS) [MP-1.1]	5146	4774	3632	4098	5443	5018	4208	4363	3952	6435	6493	4738	4482	2533	3411	4825	4796	7348	4360	5020	3716
NicotiNaNmide (2TMS) [MP-2.1]	151	2199	1127	1337	1756	1356	624	930	839	1705	92	847	542	903	583	1371	1917	2346	571	1268	932
NoNaNdecane_653263.69_PRED	1224	896	927	1159	1148	1286	991	1078	1249	1422	1077	1335	1085	698	582	1185	1020	1636	1457	1250	1004
"NoNaNn-1-ol,_n-_(1TMS)_336924.19_PRED"	31827	23705	22445	26196	31888	29006	23008	22926	29645	35282	32327	31505	21852	19735	19987	28952	24067	32644	21344	28308	21792
"Octadecadienoic_acid,_9,12-(Z,Z)-_(1TMS)_775215.19_PRED"	10452	14957	11193	16110	13964	18117	8049	11964	12867	19855	10556	7604	10507	7693	6845	9280	8649	18927	7214	17926	9219
Ornithine (4TMS) [MP-1.1]	1606	856	750	881	356	1421	571	661	1234	653	1245	819	277	1572	268	495	224	745	557	645	704
Ornithine_(3TMS)_(Derivate_not_found)_492548.84_PRED	457	708	1053	679	1237	1245	465	492	769	1520	230	428	540	455	792	731	772	1232	753	957	724
Orthophosphate	345594	224058	224991	265242	352866	302655	267596	254964	299474	350939	366431	361355	255335	205489	287195	335878	271603	350910	256013	302411	220582
Oxalic_acid_(2TMS)_236929.91_PRED	6403	65406	35711	55776	48719	58656	18677	31117	32204	65115	NaN	22490	30239	24544	12410	27248	77844	65565	21947	35054	33954
Oxaloacetate_(1MEOX)_(2TMS)_MP_473005.72_TRUE	232	746	480	927	1398	1723	1239	516	490	900	338	411	707	298	407	471	662	384	491	428	658
"Pentadecan-1-ol,_n-_(1TMS)_636157.25_PRED"	7339	1208	1012	1271	1510	1784	1481	942	1425	1718	11167	1221	1122	897	923	1451	1650	1449	897	933	1271
"Pentadecane,_n-_462471.41_PRED"	1430	1159	1078	1106	1319	1792	1432	1269	1730	1863	1270	1552	1569	1094	948	1214	1931	1938	1208	1464	1602
"Pentadecanoic_acid_methyl_ester,_n-_620606.38_PRED"	177	1251	581	1203	1604	1329	1321	994	979	1114	784	840	1278	783	371	1180	1305	801	593	726	1292
Phenylalanine (2TMS) [MP-1.1]	1545	1483	1422	1479	1625	2118	894	1229	1577	2220	1233	1145	1171	963	975	1506	1538	2019	1241	1801	1168
Phosphoenolpyruvic_acid_(3TMS)_528164.19_TRUE	1978	1450	1581	1440	1309	1625	986	1054	1502	2298	1200	1479	1060	1012	964	751	1222	1257	1155	1210	1263
Phosphoric_acid_monomethyl_ester_(2TMS)_258939.19_PRED	1335	36035	8535	11269	100237	7531	3802	9565	39770	17434	1391	27405	7503	7916	9392	4950	5742	8713	16690	27293	5089
Proline [MP-1.1]	6683	4423	5520	4862	5986	9629	3727	6075	7881	7935	5801	6221	4745	3940	3634	6081	4361	7792	5481	8084	5042
"Proline, trans-4-Hydroxy- (3TMS) [MP-1.1]"	1073	1159	1040	870	1642	1418	1064	1257	1507	1505	1494	1510	1447	768	1061	1313	1132	1386	1157	1322	1352
Proline_(2TMS)_340374.03_PRED	24443	10811	12657	13633	10941	18534	12521	11191	15477	18012	20852	11498	9883	7433	9385	18638	9501	14271	13222	16442	9349
"Propane-1,2-diol,_3-amino_(4TMS)_437787.28_TRUE"	731	2340	766	2070	2121	1064	1018	1145	2905	782	654	3027	375	1162	323	599	472	659	891	800	1198
"Pyridine, 2-Hydroxy- (1TMS) [MP-1.1]"	1086	1949	2528	995	3515	1997	1093	1652	2887	4245	NaN	2016	2112	1151	1578	1509	592	2466	1643	3605	1185
Pyroglutamic_acid_(2TMS)_507313.84_TRUE	NaN	29485	28215	NaN	NaN	43850	33456	28745	34741	48378	120116	33446	35937	22121	24034	31246	46352	42237	30190	41440	34457
Pyrophosphate [MP-1.1]	888	810	816	1213	445	745	689	1065	2031	1031	456	1958	2153	747	285	NaN	696	737	764	544	765
Pyrophosphate_(4TMS)_556794.69_TRUE	888	810	816	1213	445	745	689	1065	2031	1031	456	1958	2153	747	285	280	696	737	764	544	765
Pyruvate (1MEOX;1TMS) [MP-1.1]	1887	1647	1354	1457	1171	1233	1772	956	1410	1729	1243	1863	1691	991	1428	1621	817	1794	1259	1056	1440
Rhamnose_(1MEOX)_(4TMS)_BP_570616.31_PRED	4463	4129	3214	4069	4841	6529	4366	2922	3095	5997	3374	3569	4478	2671	2440	3207	5220	4138	3037	4740	4161
"Ribonic_acid-1,4-lactone_(3TMS)_550463.56_TRUE"	16034	11210	6734	12130	6781	12716	13145	10866	10454	11015	10285	16978	7440	7786	2677	5472	9706	12787	13832	12381	14099
Ribose_(1MEOX)_(4TMS)_MP_503578.66_TRUE	2864	3088	2769	3009	3971	4404	3640	3062	4003	4723	2451	3698	3691	2425	2341	3147	5196	4430	3211	3961	3573
